City_ID,City,Country,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Current_Description
385,La Romana,DO,18.4273,-68.9728,72.14,90,1,10.22,clear sky
386,Prieska,ZA,-29.6641,22.7474,69.46,32,0,15.77,clear sky
387,Arman,RU,59.7,150.1667,-17.99,81,2,8.97,clear sky
388,Luwuk,ID,-0.9516,122.7875,85.73,69,100,1.54,overcast clouds
389,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,69.94,97,100,3.74,overcast clouds
390,Beloha,MG,-25.1667,45.05,92.01,38,0,1.23,clear sky
391,Labytnangi,RU,66.6572,66.4183,-17.64,100,100,1.86,overcast clouds
392,Codrington,AU,-38.2667,141.9667,66.83,74,4,12.41,clear sky
393,Buenaventura,CO,3.8801,-77.0312,74.03,93,92,1.68,overcast clouds
394,Arcelia,MX,18.2833,-100.2667,68.92,58,100,3.31,overcast clouds
395,Mezen,RU,65.8522,44.24,8.92,95,100,7.54,overcast clouds
396,Lalmohan,BD,22.3384,90.7419,72.59,34,82,4.29,broken clouds
397,Cootamundra,AU,-34.65,148.0333,79.95,51,20,10.07,few clouds
398,Dragoesti,RO,47.55,26.0833,42.96,83,2,5.88,clear sky
399,Yambio,SS,4.5721,28.3955,78.73,30,98,6.11,overcast clouds
400,Santa,PH,17.486,120.4348,88.02,55,97,18.1,overcast clouds
401,Kolyvan,RU,55.3053,82.7391,-4.38,98,99,3.78,overcast clouds
402,Suining,CN,30.508,105.5733,52.12,52,98,5.03,overcast clouds
403,Maua,BR,-23.6678,-46.4614,70.36,98,99,3.65,overcast clouds
404,Mbanza-Ngungu,CD,-5.25,14.8667,71.6,92,100,0.56,overcast clouds
405,Muzhi,RU,65.3667,64.6667,-11.88,100,100,1.63,overcast clouds
406,Kasungu,MW,-13.0333,33.4833,70.66,81,100,3.09,light rain
407,Boffa,GN,10.1667,-14.0333,72.5,52,91,2.71,overcast clouds
408,Desnogorsk,RU,54.1508,33.2815,33.49,98,100,8.25,overcast clouds
409,Bibiani,GH,6.4635,-2.3194,67.71,86,100,1.66,overcast clouds
410,Buala,SB,-8.145,159.5921,82.76,79,97,8.99,light rain
411,Oum Hadjer,TD,13.2954,19.6966,65.39,24,7,11.16,clear sky
412,Ilanskiy,RU,56.2358,96.065,0.72,95,83,2.06,broken clouds
413,Faya,SA,18.3851,42.4509,60.91,68,100,7.7,overcast clouds
414,Nizhneangarsk,RU,55.7833,109.55,3.58,77,97,4.7,overcast clouds
415,Mekhe,SN,15.1097,-16.6218,68.77,70,80,7.34,broken clouds
416,Ouegoa,NC,-20.35,164.4333,82.08,76,19,12.17,few clouds
417,Harper,LR,4.375,-7.7169,76.75,86,36,3.02,scattered clouds
418,Lavrentiya,RU,65.5833,-171.0,-8.77,87,65,9.1,broken clouds
419,Bo Phloi,TH,14.3236,99.5161,87.31,45,96,11.45,overcast clouds
420,Ternate,ID,0.8,127.4,83.03,73,100,10.74,overcast clouds
421,Chaoyang,CN,41.5703,120.4586,30.2,20,0,6.29,clear sky
422,Rio Tinto,PT,41.1826,-8.5581,60.58,99,100,17.27,overcast clouds
423,Yenagoa,NG,4.9247,6.2642,76.05,82,98,4.99,overcast clouds
424,Erie,US,42.7667,-78.6664,52.39,79,100,12.44,overcast clouds
425,Mugango,TZ,-1.6833,33.7,77.18,57,62,7.61,broken clouds
426,North Bend,US,43.4065,-124.2243,55.92,94,100,13.8,overcast clouds
427,Kutum,SD,14.2,24.6667,55.26,31,4,9.55,clear sky
428,Derzhavinsk,KZ,51.1,66.3167,19.4,96,98,7.02,overcast clouds
429,Puksoozero,RU,62.5903,40.6066,-1.34,99,73,4.83,broken clouds
430,Felipe Carrillo Puerto,MX,19.5833,-88.05,70.09,99,25,2.08,scattered clouds
431,Khatanga,RU,71.9667,102.5,-10.68,93,100,15.99,overcast clouds
432,Monfalcone,IT,45.8072,13.5342,53.38,98,100,3.44,light rain
433,Dillon,US,34.4166,-79.3712,46.38,90,0,2.06,clear sky
434,Komsomolskiy,UZ,40.4272,71.7189,38.12,75,75,4.61,mist
435,Bagdarin,RU,54.4333,113.6,7.2,64,0,9.6,clear sky
436,Ondarroa,ES,43.3167,-2.4167,66.79,70,100,18.61,overcast clouds
437,Yuci,CN,37.6803,112.7319,35.35,18,0,2.24,clear sky
438,Merauke,ID,-8.4667,140.3333,83.98,74,97,9.37,overcast clouds
439,La Spezia,IT,44.1105,9.8434,60.08,90,75,6.91,broken clouds
440,Namibe,AO,-15.1961,12.1522,73.78,78,100,9.37,light rain
441,Nabire,ID,-3.3667,135.4833,85.01,63,94,5.17,moderate rain
442,Frekhaug,NO,60.5139,5.2435,42.06,56,100,8.99,overcast clouds
443,Belmonte,BR,-15.8631,-38.8828,74.46,86,44,4.72,scattered clouds
444,Ancud,CL,-41.8697,-73.8203,48.81,91,45,2.77,scattered clouds
445,Valentin Gomez Farias,MX,28.2167,-106.5833,41.97,71,62,11.01,broken clouds
446,Alta Floresta,BR,-9.8756,-56.0861,70.57,100,100,2.42,moderate rain
447,Manacapuru,BR,-3.2997,-60.6206,73.78,93,98,1.45,overcast clouds
448,Auriflama,BR,-20.6856,-50.5547,71.92,88,100,4.23,overcast clouds
449,Sinnamary,GF,5.3833,-52.95,75.76,88,95,7.2,overcast clouds
450,Daoukro,CI,7.0591,-3.9631,66.13,31,71,2.28,broken clouds
451,Yeniseysk,RU,58.4497,92.1703,-7.87,96,100,3.24,overcast clouds
452,Riobamba,EC,-1.6667,-78.6333,50.61,88,84,2.59,broken clouds
453,Sao Filipe,CV,14.8961,-24.4956,71.73,62,28,7.45,scattered clouds
454,Forquilhinha,BR,-28.7475,-49.4722,58.93,91,0,2.08,clear sky
455,Isla Mujeres,MX,21.2311,-86.731,77.16,87,3,12.37,light rain
456,Coquimbo,CL,-29.9533,-71.3436,60.53,88,100,4.61,overcast clouds
457,Punahana,IN,27.8667,77.2,70.93,33,5,5.91,clear sky
458,Pangody,RU,65.85,74.4859,-24.72,100,10,5.37,clear sky
459,Verkhnevilyuysk,RU,63.4453,120.3167,-34.06,99,88,5.19,overcast clouds
460,Richards Bay,ZA,-28.783,32.0377,68.16,81,100,14.63,light rain
461,Chapais,CA,49.7834,-74.8492,33.58,100,100,8.25,overcast clouds
462,Kysyl-Syr,RU,63.8986,122.7617,-34.11,99,56,5.77,broken clouds
463,Mmabatho,ZA,-25.85,25.6333,69.76,68,47,12.66,scattered clouds
464,Charters Towers,AU,-20.1,146.2667,92.17,24,97,9.55,overcast clouds
465,Mount Gambier,AU,-37.8333,140.7667,68.13,62,29,9.8,scattered clouds
466,Bindura,ZW,-17.3019,31.3306,67.26,88,99,5.41,light rain
467,Santa Maria,BR,-29.6842,-53.8069,60.31,45,0,2.98,clear sky
468,Marsh Harbour,BS,26.5412,-77.0636,74.37,83,86,10.74,overcast clouds
469,Claveria,PH,18.6074,121.0832,74.55,85,99,14.43,overcast clouds
470,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.59,95,100,6.44,overcast clouds
471,Naryan-Mar,RU,67.6713,53.087,-3.12,95,100,9.01,overcast clouds
472,Baringo,KE,0.4667,35.9667,78.04,37,9,0.94,clear sky
473,Porto Velho,BR,-8.7619,-63.9039,73.45,94,75,5.75,moderate rain
474,Mount Hagen,PG,-5.8581,144.2274,66.96,77,40,11.5,scattered clouds
475,High Point,US,35.9557,-80.0053,46.35,80,20,4.61,few clouds
476,Narsaq,GL,60.9167,-46.05,5.22,64,0,6.71,clear sky
477,Nuuk,GL,64.1835,-51.7216,6.98,90,42,6.69,scattered clouds
478,Rajapur,IN,25.3833,81.15,69.17,28,90,2.33,overcast clouds
479,Sisak,HR,45.4661,16.3783,49.98,86,100,4.41,overcast clouds
480,Cabedelo,BR,-6.9811,-34.8339,79.47,77,8,10.71,clear sky
481,Bandarbeyla,SO,9.4942,50.8122,80.62,64,70,21.99,broken clouds
482,Ambilobe,MG,-13.2,49.05,80.13,70,83,0.92,broken clouds
483,Catemaco,MX,18.4167,-95.1167,66.61,84,51,2.68,broken clouds
484,Puerto Escondido,MX,15.85,-97.0667,75.38,70,99,5.01,overcast clouds
485,Lagos,NG,6.5833,3.75,72.34,64,26,4.97,scattered clouds
486,Labis,MY,2.385,103.021,83.55,70,75,6.58,broken clouds
487,Pedernales,DO,18.0384,-71.744,75.0,67,0,2.48,clear sky
488,Bunol,ES,39.4167,-0.7833,57.56,62,100,14.18,overcast clouds
